ts_utc,run_id,phase,endpoint_label,endpoint_host,latency_ms,success,ldap_rc
2026-02-12T10:59:48Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,364,1,0
2026-02-12T10:59:49Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,391,1,0
2026-02-12T10:59:50Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,352,1,0
2026-02-12T10:59:50Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,368,1,0
2026-02-12T10:59:50Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,388,1,0
2026-02-12T10:59:51Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,344,1,0
2026-02-12T10:59:51Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,359,1,0
2026-02-12T10:59:52Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,394,1,0
2026-02-12T10:59:52Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,349,1,0
2026-02-12T10:59:53Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,358,1,0
2026-02-12T10:59:53Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,391,1,0
2026-02-12T10:59:54Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,342,1,0
2026-02-12T10:59:54Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,363,1,0
2026-02-12T10:59:55Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,392,1,0
2026-02-12T10:59:55Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,364,1,0
2026-02-12T10:59:55Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,354,1,0
2026-02-12T10:59:56Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,390,1,0
2026-02-12T10:59:57Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,355,1,0
2026-02-12T10:59:57Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,344,1,0
2026-02-12T10:59:58Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,410,1,0
2026-02-12T10:59:58Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,368,1,0
2026-02-12T10:59:58Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,360,1,0
2026-02-12T10:59:59Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,395,1,0
2026-02-12T10:59:59Z,20260212T105929Z,phase1,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,371,1,0
2026-02-12T11:00:00Z,20260212T105929Z,phase1,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,367,1,0
2026-02-12T11:00:00Z,20260212T105929Z,phase1,ga,aa99eb27c555144df.awsglobalaccelerator.com,393,1,0
