ts_utc,run_id,seq_start,seq_end,stale_reads_count
2026-02-12T10:59:56Z,20260212T105929Z,1,3,0
2026-02-12T11:00:50Z,20260212T105929Z,4,6,0
2026-02-12T11:02:03Z,20260212T105929Z,25,27,0
2026-02-12T11:02:46Z,20260212T105929Z,28,36,0
