ts_utc,run_id,phase,uid,endpoint_label,endpoint_host,ack_ms,first_visible_ms,lag_ms,probe_status
2026-02-12T11:01:03Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-11,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894062737,1770894063562,825,ok
2026-02-12T11:01:03Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-11,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894062737,1770894063941,1204,ok
2026-02-12T11:01:05Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-12,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894064862,1770894065346,484,ok
2026-02-12T11:01:05Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-12,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894064862,1770894065728,866,ok
2026-02-12T11:01:06Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-12,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894064862,1770894066103,1241,ok
2026-02-12T11:01:07Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-13,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894067009,1770894067487,478,ok
2026-02-12T11:01:07Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-13,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894067009,1770894067858,849,ok
2026-02-12T11:01:08Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-13,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894067009,1770894068247,1238,ok
2026-02-12T11:01:09Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-14,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894069170,1770894069641,471,ok
2026-02-12T11:01:10Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-14,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894069170,1770894070006,836,ok
2026-02-12T11:01:10Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-14,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894069170,1770894070401,1231,ok
2026-02-12T11:01:11Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-15,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894071329,1770894071783,454,ok
2026-02-12T11:01:12Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-15,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894071329,1770894072156,827,ok
2026-02-12T11:01:12Z,20260212T105929Z,phase2_live_r2,lt-20260212T105929Z-15,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894071329,1770894072526,1197,ok
2026-02-12T11:01:15Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-16,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894074925,1770894075399,474,ok
2026-02-12T11:01:15Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-16,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894074925,1770894075791,866,ok
2026-02-12T11:01:16Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-16,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894074925,1770894076180,1255,ok
2026-02-12T11:01:18Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-17,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894077610,1770894078044,434,ok
2026-02-12T11:01:18Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-17,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894077610,1770894078460,850,ok
2026-02-12T11:01:18Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-17,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894077610,1770894078922,1312,ok
2026-02-12T11:01:20Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-18,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894080324,1770894080769,445,ok
2026-02-12T11:01:21Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-18,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894080324,1770894081137,813,ok
2026-02-12T11:01:21Z,20260212T105929Z,phase2_dr_r1,lt-20260212T105929Z-18,dr,openldap-mm-dr-r-94aae6c2d6961ea0.elb.us-east-1.amazonaws.com,1770894080324,1770894081510,1186,ok
2026-02-12T11:01:24Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-19,ga,aa99eb27c555144df.awsglobalaccelerator.com,1770894084046,1770894084475,429,ok
2026-02-12T11:01:24Z,20260212T105929Z,phase2_dr_r2,lt-20260212T105929Z-19,live,openldap-mm-live-r-0d5b45e4360d3f90.elb.us-east-1.amazonaws.com,1770894084046,1770894084851,805,ok
